idDeputado,idProposicao
73943,2236141
73943,2236140
73943,2236139
73943,2236138
73943,2236137
73943,2236136
73943,2236135
73943,2236134
73943,2236133
73943,2236132
73943,2236131
73943,2236130
73943,2236129
73943,2236128
73943,2236127
73943,2236125
73943,2236116
204407,2236091
204538,2236090
204538,2236089
204536,2236087
204536,2236086
204374,2236084
160545,2236082
160575,2236081
160575,2236080
160512,2236079
204371,2236078
204371,2236077
212625,2236059
212625,2236058
212625,2236057
204567,2236056
204567,2236055
204518,2236054
204518,2236053
204518,2236052
204518,2236051
204518,2236050
141508,2236042
73696,2236034
204496,2236033
204373,2236031
204373,2236029
98057,2236026
204395,2236025
212625,2236024
204518,2236023
178981,2236021
160511,2236020
204518,2236019
178929,2236017
204556,2236016
204367,2236015
204367,2236014
204367,2236013
204367,2236012
204367,2236011
204367,2236010
204367,2236009
204367,2236008
204367,2236007
204367,2236006
204367,2236005
204367,2236004
204367,2236003
204367,2236002
204367,2236001
204367,2236000
204367,2235999
204367,2235997
204367,2235996
204562,2235995
74052,2235994
109429,2235992
109429,2235991
204461,2235989
204461,2235988
204461,2235987
204461,2235985
204461,2235984
204457,2235983
204531,2235982
178961,2235980
178992,2235979
74052,2235976
74052,2235975
204527,2235973
160575,2235972
160575,2235971
204457,2235970
204506,2235964
204506,2235963
204506,2235962
204506,2235961
204506,2235960
204506,2235959
204506,2235958
204506,2235957
204506,2235956
204506,2235955
204506,2235954
204506,2235953
204506,2235952
204506,2235951
204506,2235950
204506,2235949
204506,2235948
204367,2235947
204367,2235946
204367,2235945
204367,2235944
133439,2235943
74655,2235937
204426,2235936
212625,2235931
212625,2235930
212625,2235929
212625,2235928
212625,2235927
73486,2235925
204377,2235924
204536,2235923
73486,2235922
204562,2235921
204562,2235920
204435,2235918
204435,2235917
204435,2235916
204442,2235915
74585,2235914
204442,2235913
178975,2235912
74655,2235909
204572,2235904
73486,2235903
74655,2235902
204484,2235901
204416,2235900
204484,2235899
74655,2235898
74655,2235897
