data,idVotacao,idProposicao
2021-06-08,2270902-52,2285798
2021-06-08,2270902-52,2285953
2021-06-08,2270902-52,2285964
2021-06-08,2270902-52,2285965
2021-06-08,2270902-52,2285972
2021-06-08,2270902-52,2285994
2021-06-08,2270902-52,2285998
2021-06-08,2270902-52,2286007
2021-06-08,2270902-52,2286008
2021-06-08,2270902-52,2286359
2021-06-08,2273510-73,2274212
2021-06-08,2273510-73,2276109
2021-06-08,2273510-73,2276111
2021-06-08,2273510-73,2276113
2021-06-08,2273510-73,2286063
2021-06-08,2273510-73,2286065
2021-06-08,2273510-73,2286067
2021-06-08,2273510-73,2286075
2021-06-08,2273510-73,2286079
2021-06-08,2273510-73,2286080
2021-06-08,2273510-73,2286082
2021-06-08,2273510-73,2286085
2021-06-08,2273510-73,2286713
2021-06-08,2277818-32,2278496
2021-06-08,2277818-32,2278578
2021-06-08,2277818-32,2278676
2021-06-08,2277818-32,2285991
2021-06-08,2282833-6,2282833
2021-06-08,2285952-20,2285989
2021-06-08,2285952-20,2286163
2021-06-08,2285952-22,2285989
2021-06-08,2285952-22,2286163
2021-06-08,2285989-7,2285989
2021-06-09,2123642-56,2276493
2021-06-09,2123642-56,2277904
2021-06-09,2123642-56,2286161
2021-06-09,2192602-40,2210313
2021-06-09,2192602-41,2210313
2021-06-09,2192602-42,2210313
2021-06-09,2192602-43,2210313
2021-06-09,2192602-44,2210313
2021-06-09,2192602-46,2210313
2021-06-09,2192602-47,2210313
2021-06-09,2192602-48,2210313
2021-06-09,2192602-49,2210313
2021-06-09,2192602-50,2210313
2021-06-09,2274251-48,2274730
2021-06-09,2274251-48,2285959
2021-06-09,2274251-48,2286037
2021-06-09,2274251-48,2286252
2021-06-09,2274251-48,2286265
2021-06-09,2274251-48,2286425
2021-06-09,1147861-42,1215581
2021-06-09,1147861-42,2284961
2021-06-09,1194363-55,2026200
2021-06-09,1194363-55,2026202
2021-06-09,1194363-55,2088593
2021-06-09,1194363-55,2088594
2021-06-09,1194363-55,2222521
2021-06-09,1194363-55,2279341
2021-06-09,2090339-73,2112817
2021-06-09,2090339-73,2209748
2021-06-09,2090339-73,2209982
2021-06-09,2090339-73,2220736
2021-06-09,2090339-73,2220737
2021-06-09,2090339-73,2234337
2021-06-09,2090339-73,2234338
2021-06-09,2090339-73,2283949
2021-06-09,2090339-73,2283950
2021-06-09,2090339-73,2284023
2021-06-09,2090339-73,2284025
2021-06-09,2090339-73,2285314
2021-06-09,2123642-57,2276493
2021-06-09,2123642-57,2277904
2021-06-09,2123642-57,2286161
2021-06-09,2180923-47,2227317
2021-06-09,2180923-47,2227319
2021-06-09,2180923-47,2285120
2021-06-09,2180923-47,2285132
2021-06-09,2194074-33,2285308
2021-06-09,2194074-33,2285309
2021-06-09,2195835-30,2282091
2021-06-09,2205607-50,2285748
2021-06-09,2221555-23,2285484
2021-06-09,2227447-30,2278988
2021-06-09,2228136-22,2280405
2021-06-09,2228136-22,2286162
2021-06-09,2228776-34,2283670
2021-06-09,2228776-34,2286081
2021-06-09,2251839-22,2280582
2021-06-09,2251839-22,2280585
2021-06-09,2276994-3,2276994
2021-06-09,2283961-2,2283961
2021-06-09,2284416-2,2284416
2021-06-09,2284423-2,2284423
2021-06-09,2284591-2,2284591
2021-06-09,2284594-2,2284594
2021-06-09,2284602-2,2284602
