,uri,nome,idLegislaturaInicial,idLegislaturaFinal,nomeCivil,siglaSexo,urlRedeSocial,urlWebsite,dataNascimento,dataFalecimento,ufNascimento,municipioNascimento
2806,https://dadosabertos.camara.leg.br/api/v2/deputados/67105,NEDSON MICHELETI,50,50,Nedson Luiz Micheleti,M,[],[],1957-11-22,,PR,Rolândia
2807,https://dadosabertos.camara.leg.br/api/v2/deputados/67138,Iracema Portella,54,56,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,F,"['http://twitter.com/iracemaportela', ' http://www.facebook.com/iracemaportella']",[],1966-04-23,,PI,Teresina
2809,https://dadosabertos.camara.leg.br/api/v2/deputados/67312,JÚLIA MARINHO,55,55,JULIA MARIA GODINHO DA CRUZ MARINHO,F,[],[],1960-04-11,,GO,Itapirapuã
2811,https://dadosabertos.camara.leg.br/api/v2/deputados/68676,HAROLDO SABÓIA,48,50,Haroldo Freitas Pires de Sabóia,M,[],[],1950-06-16,,MA,São Luís
2812,https://dadosabertos.camara.leg.br/api/v2/deputados/68720,Fábio Henrique,56,56,FABIO HENRIQUE SANTANA DE CARVALHO,M,"['fabiohenriquese12', ' @FabioHenriqueSE']",[],1972-06-19,,SE,Simão Dias
2813,https://dadosabertos.camara.leg.br/api/v2/deputados/68731,HENRIQUE OLIVEIRA,54,54,JOSÉ HENRIQUE OLIVEIRA,M,[],[],1960-10-16,,SC,Florianópolis
2814,https://dadosabertos.camara.leg.br/api/v2/deputados/69871,Bacelar,55,56,JOAO CARLOS BACELAR BATISTA,M,[],[],1957-07-09,,BA,Esplanada
2815,https://dadosabertos.camara.leg.br/api/v2/deputados/71921,JOSÉ ROBERTO DUDÉ,53,53,JOSÉ ROBERTO CORREA DO NASCIMENTO,M,[],[],1964-07-24,,ES,Santa Teresa
2816,https://dadosabertos.camara.leg.br/api/v2/deputados/72442,Felipe Carreras,55,56,FELIPE AUGUSTO LYRA CARRERAS,M,[],[],1975-04-16,,PE,Recife
2817,https://dadosabertos.camara.leg.br/api/v2/deputados/72553,GESSIVALDO ISAIAS,51,51,GESSIVALDO ISAIAS DE CARVALHO SILVA,M,[],[],1969-01-08,,PI,Teresina
2818,https://dadosabertos.camara.leg.br/api/v2/deputados/72912,CELSO PANSERA,55,55,CELSO PANSERA,M,[],[],1963-10-10,,RS,São Valentim
2820,https://dadosabertos.camara.leg.br/api/v2/deputados/73417,NILTON CERQUEIRA,50,50,NILTON DE ALBUQUERQUE CERQUEIRA,M,[],[],1930-06-06,,AL,Maceió
2823,https://dadosabertos.camara.leg.br/api/v2/deputados/73420,ROBERTO JEFFERSON,47,52,ROBERTO JEFFERSON MONTEIRO FRANCISCO,M,[],[],1953-06-14,,RJ,Petrópolis
2824,https://dadosabertos.camara.leg.br/api/v2/deputados/73421,RONALDO CEZAR COELHO,48,52,RONALDO CEZAR COELHO,M,[],[],1947-03-23,,RJ,Rio de Janeiro
2825,https://dadosabertos.camara.leg.br/api/v2/deputados/73422,RUBEM MEDINA,43,51,RUBEM MEDINA,M,[],[],1942-09-01,,RJ,Rio de Janeiro
2828,https://dadosabertos.camara.leg.br/api/v2/deputados/73425,VANESSA FELIPPE,50,50,VANESSA POYARES TUFFY FELIPPE,F,[],[],1972-10-01,,RJ,Rio de Janeiro
2831,https://dadosabertos.camara.leg.br/api/v2/deputados/73428,ALDO REBELO,49,54,JOSÉ ALDO REBELO FIGUEIREDO,M,[],[],1956-02-23,,AL,Viçosa
2833,https://dadosabertos.camara.leg.br/api/v2/deputados/73430,ALOYSIO NUNES FERREIRA,50,52,ALOYSIO NUNES FERREIRA FILHO,M,[],[],1945-04-05,,SP,São José do Rio Preto
2834,https://dadosabertos.camara.leg.br/api/v2/deputados/73431,ANTONIO CARLOS PANNUNZIO,50,53,ANTONIO CARLOS PANNUNZIO,M,[],[],1943-07-29,,SP,São Paulo
2835,https://dadosabertos.camara.leg.br/api/v2/deputados/73432,ANTONIO KANDIR,50,51,ANTONIO KANDIR,M,[],[],1953-05-02,,SP,São Paulo
2836,https://dadosabertos.camara.leg.br/api/v2/deputados/73433,Arlindo Chinaglia,50,56,ARLINDO CHIGNALIA JUNIOR,M,"['@depchinaglia', ' @achinaglia', ' @depchinaglia']",[],1949-12-24,,SP,Serra Azul
2837,https://dadosabertos.camara.leg.br/api/v2/deputados/73434,ARNALDO FARIA DE SÁ,48,55,ARNALDO FARIA DE SÁ,M,[],[],1945-12-30,,SP,São Paulo
2839,https://dadosabertos.camara.leg.br/api/v2/deputados/73436,AYRES DA CUNHA,49,50,Ayres da Cunha Marques,M,[],[],1937-01-18,,SP,São Paulo
2840,https://dadosabertos.camara.leg.br/api/v2/deputados/73437,BETO MANSUR,49,55,PAULO ROBERTO GOMES MANSUR,M,[],[],1951-07-07,,SP,São Vicente
2841,https://dadosabertos.camara.leg.br/api/v2/deputados/73438,CARLOS APOLINÁRIO,50,50,Carlos Alberto Eugenio Apolinário,M,[],[],1952-04-28,,SP,São Paulo
2842,https://dadosabertos.camara.leg.br/api/v2/deputados/73439,CARLOS NELSON,46,50,Carlos Nelson Bueno,M,[],[],1940-02-21,,SP,
2844,https://dadosabertos.camara.leg.br/api/v2/deputados/73441,Celso Russomanno,50,56,CELSO UBIRAJARA RUSSOMANNO,M,[],[],1956-08-20,,SP,São Paulo
2845,https://dadosabertos.camara.leg.br/api/v2/deputados/73442,CORAUCI SOBRINHO,50,52,VALDEMAR CORAUCI SOBRINHO,M,[],[],1945-08-24,,SP,Ribeirão Preto
2846,https://dadosabertos.camara.leg.br/api/v2/deputados/73443,CUNHA BUENO,45,51,ANTÔNIO HENRIQUE BITENCOURT CUNHA BUENO,M,[],[],1949-06-17,,SP,São Paulo
2847,https://dadosabertos.camara.leg.br/api/v2/deputados/73444,CUNHA LIMA,50,50,ANTONIO DA CUNHA LIMA,M,[],[],1955-09-08,,PB,Campina Grande
2849,https://dadosabertos.camara.leg.br/api/v2/deputados/73446,DUILIO PISANESCHI,50,51,DUILIO PISANESCHI,M,[],[],1940-08-29,,PB,Santo André
2850,https://dadosabertos.camara.leg.br/api/v2/deputados/73447,EDINHO ARAÚJO,50,55,EDSON EDINHO COELHO ARAÚJO,M,"['twitter.com/_edinhoaraujo', ' www.facebook.com/pages/Edinho-Ara%C3%Bajo/512478158795235?fref=ts']",[],1949-07-30,,SP,Santa Fé do Sul
2851,https://dadosabertos.camara.leg.br/api/v2/deputados/73448,EDUARDO JORGE,48,51,EDUARDO JORGE MARTINS ALVES SOBRINHO,M,[],[],1949-10-26,,BA,Salvador
2852,https://dadosabertos.camara.leg.br/api/v2/deputados/73449,FÁBIO FELDMANN,48,50,FABIO JOSE FELDMANN,M,[],[],1955-05-14,,SP,São Paulo
2853,https://dadosabertos.camara.leg.br/api/v2/deputados/73450,FAUSTO MARTELLO,50,50,Fausto Miguel Martello,M,[],[],1952-09-29,,SP,Guarulhos
2854,https://dadosabertos.camara.leg.br/api/v2/deputados/73451,FERNANDO ZUPPO,50,51,CARLOS FERNANDO ZUPPO FRANCO,M,[],[],1942-03-01,,SP,Garça
2857,https://dadosabertos.camara.leg.br/api/v2/deputados/73454,JOÃO GRANDÃO,51,52,JOÃO BATISTA DOS SANTOS,M,[],[],1959-12-26,,SP,Rinópolis
2858,https://dadosabertos.camara.leg.br/api/v2/deputados/73455,PEDRO PEDROSSIAN,51,52,PEDRO PEDROSSIAN FILHO,M,[],[],1966-06-28,,MT,Cuiabá
2859,https://dadosabertos.camara.leg.br/api/v2/deputados/73456,WALDEMIR MOKA,51,53,WALDEMIR MOKA MIRANDA DE BRITTO,M,[],[],1951-10-10,,MS,Bela Vista
2860,https://dadosabertos.camara.leg.br/api/v2/deputados/73457,AIRTON ROVEDA,51,53,AIRTON BERNARDO ROVEDA,M,[],[],1948-02-14,,PR,Bituruna
2861,https://dadosabertos.camara.leg.br/api/v2/deputados/73458,ALEX CANZIANI,51,55,ALEX CANZIANI SILVEIRA,M,"['http://www.orkut.com.br/Main#Profile?uid=6272863290258487683', ' http://twitter.com/#!/canzianialex', ' http://www.flickr.com/photos/alexcanziani1414/', ' http://www.facebook.com/profile.php?id=100002221512482', ' http://www.youtube.com/user/AlexCanziani1414?blend=3&amp;ob=5']",[],1964-06-11,,PR,Londrina
2862,https://dadosabertos.camara.leg.br/api/v2/deputados/73459,DR. ROSINHA,51,54,FLORISVALDO FIER,M,[],[],1950-11-12,,PR,Rolândia
2863,https://dadosabertos.camara.leg.br/api/v2/deputados/73460,Gustavo Fruet,51,56,GUSTAVO BONATO FRUET,M,[],[],1963-04-18,,PR,Curitiba
2864,https://dadosabertos.camara.leg.br/api/v2/deputados/73461,ÍRIS SIMÕES,51,53,ÍRIS XAVIER SIMÕES,M,[],[],1961-05-25,,PR,Pato Branco
2866,https://dadosabertos.camara.leg.br/api/v2/deputados/73463,Osmar Serraglio,51,56,OSMAR JOSÉ SERRAGLIO,M,[],[],1948-05-23,,RS,Erechim
2867,https://dadosabertos.camara.leg.br/api/v2/deputados/73464,OLIVEIRA FILHO,51,54,BERNARDINO BARRETO DE OLIVEIRA,M,[],[],1957-04-15,,RJ,Rio de Janeiro
2868,https://dadosabertos.camara.leg.br/api/v2/deputados/73465,RAFAEL GRECA,51,51,RAFAEL VALDOMIRO GRECA DE MACEDO,M,[],[],1956-03-17,,PR,Curitiba
2869,https://dadosabertos.camara.leg.br/api/v2/deputados/73466,Rubens Bueno,49,56,RUBENS BUENO,M,[],[],1948-05-23,,PR,Sertanópolis
2872,https://dadosabertos.camara.leg.br/api/v2/deputados/73469,CARLITO MERSS,51,53,CARLITO MERSS,M,[],[],1955-09-16,,SC,Porto União
2873,https://dadosabertos.camara.leg.br/api/v2/deputados/73470,ENI VOLTOLINI,51,51,ENI JOSÉ VOLTOLINI,M,[],[],1950-05-08,,SC,Corupá
2874,https://dadosabertos.camara.leg.br/api/v2/deputados/73471,FERNANDO CORUJA,51,53,CARLOS FERNANDO CORUJA AGUSTINI,M,[],[],1954-12-04,,SC,Lages
2876,https://dadosabertos.camara.leg.br/api/v2/deputados/73473,LEODEGAR TISCOSKI,51,52,LEODEGAR DA CUNHA TISCOSKI,M,[],[],1948-10-02,,SC,Sombrio
2877,https://dadosabertos.camara.leg.br/api/v2/deputados/73474,LUCI CHOINACKI,49,54,LUCI TERESINHA KOSWOSKI CHOINACKI,F,"['http://www.orkut.com.br/lucichoinacki', ' http://www.orkut.com.br/lucichoinacki']",[],1954-03-17,,SC,Descanso
2878,https://dadosabertos.camara.leg.br/api/v2/deputados/73475,RENATO VIANNA,47,51,RENATO DE MELLO VIANNA,M,[],[],1944-07-18,,SC,Blumenau
2879,https://dadosabertos.camara.leg.br/api/v2/deputados/73476,VICENTE CAROPRESO,51,51,VICENTE AUGUSTO CAROPRESO,M,[],[],1956-09-01,,SC,Blumenau
2881,https://dadosabertos.camara.leg.br/api/v2/deputados/73478,BETO ALBUQUERQUE,51,54,LUIZ ROBERTO DE ALBUQUERQUE,M,[],[],1963-01-06,,RS,Passo Fundo
2882,https://dadosabertos.camara.leg.br/api/v2/deputados/73479,CAIO RIELA,51,51,LUIZ CARLOS REPISO RIELA,M,[],[],1958-11-08,,RS,Uruguaiana
2883,https://dadosabertos.camara.leg.br/api/v2/deputados/73480,CEZAR SCHIRMER,51,53,CEZAR AUGUSTO SCHIRMER,M,[],[],1952-02-23,,RS,Santa Maria
2884,https://dadosabertos.camara.leg.br/api/v2/deputados/73481,FERNANDO MARRONI,51,55,FERNANDO STEPHAN MARRONI,M,[],[],1956-07-31,,RS,Pelotas
2885,https://dadosabertos.camara.leg.br/api/v2/deputados/73482,Henrique Fontana,51,56,HENRIQUE FONTANA JÚNIOR,M,[],[],1960-01-18,,RS,Porto Alegre
2886,https://dadosabertos.camara.leg.br/api/v2/deputados/73483,LUIS CARLOS HEINZE,51,55,LUIS CARLOS HEINZE,M,['https://www.facebook.com/deputadoheinze/'],['http://www.deputadoheinze.com.br'],1950-09-14,,RS,Candelária
2887,https://dadosabertos.camara.leg.br/api/v2/deputados/73484,MARCOS ROLIM,51,51,MARCOS FLÁVIO ROLIM,M,[],[],1960-08-16,,RS,Porto Alegre
2888,https://dadosabertos.camara.leg.br/api/v2/deputados/73485,PAULO GOUVÊA,51,52,PAULO JOSÉ GOUVÊA,M,[],[],1964-04-19,,RS,Tenente Portela
2889,https://dadosabertos.camara.leg.br/api/v2/deputados/73486,Pompeo de Mattos,51,56,DARCI POMPEO DE MATTOS,M,[],[],1958-07-12,,RS,Santo Augusto
2890,https://dadosabertos.camara.leg.br/api/v2/deputados/73487,ROBERTO ARGENTA,51,51,ROBERTO ARGENTA,M,[],[],1952-08-26,,RS,Gramado
2893,https://dadosabertos.camara.leg.br/api/v2/deputados/73490,RICARTE DE FREITAS,51,53,RICARTE DE FREITAS JUNIOR,M,[],[],1952-01-17,,SC,Lages
2894,https://dadosabertos.camara.leg.br/api/v2/deputados/73491,PEDRO BITTENCOURT,51,51,PEDRO BITTENCOURT NETO,M,[],[],1956-01-22,,SC,Florianópolis
2895,https://dadosabertos.camara.leg.br/api/v2/deputados/73492,ANTONIO CARLOS BISCAIA,51,53,ANTONIO CARLOS SILVA BISCAIA,M,[],[],1942-06-03,,PR,Curitiba
2896,https://dadosabertos.camara.leg.br/api/v2/deputados/73495,MANOEL MOREIRA,48,49,MANOEL MOREIRA DE ARAUJO FILHO,M,[],[],1949-08-28,,MA,Vitorino Freire
2897,https://dadosabertos.camara.leg.br/api/v2/deputados/73499,NARCISO MENDES,48,52,NARCISO MENDES DE ASSIS,M,[],[],1946-07-18,,RN,Patu
2899,https://dadosabertos.camara.leg.br/api/v2/deputados/73507,ROSE DE FREITAS,48,54,ROSILDA DE FREITAS,F,[],[],1949-01-23,,MG,Caratinga
2900,https://dadosabertos.camara.leg.br/api/v2/deputados/73510,SÉRGIO SPADA,48,49,Sérgio Spada,M,[],[],1954-12-14,,RS,Planalto
2902,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,Ivan Valente,50,56,IVAN VALENTE,M,[],[],1946-07-05,,SP,São Paulo
2903,https://dadosabertos.camara.leg.br/api/v2/deputados/73532,JAIR MENEGUELLI,50,51,JAIR ANTONIO MENEGUELLI,M,[],[],1947-07-16,,SP,São Paulo
2904,https://dadosabertos.camara.leg.br/api/v2/deputados/73533,JOÃO MELLÃO NETO,49,50,João Mellão Neto,M,[],[],1955-11-06,,SP,São Paulo
2905,https://dadosabertos.camara.leg.br/api/v2/deputados/73534,JOÃO PAULO CUNHA,50,54,JOÃO PAULO CUNHA,M,[],[],1958-06-06,,SP,Caraguatatuba
2906,https://dadosabertos.camara.leg.br/api/v2/deputados/73535,JORGE TADEU MUDALEN,49,55,JORGE TADEU MUDALEN,M,[],[],1955-01-03,,SP,Guarulhos
2907,https://dadosabertos.camara.leg.br/api/v2/deputados/73536,JOSÉ ANÍBAL,49,54,JOSÉ ANÍBAL PERES DE PONTES,M,[],[],1947-08-09,,RO,Guajará-Mirim
2908,https://dadosabertos.camara.leg.br/api/v2/deputados/73537,JOSÉ AUGUSTO,50,50,José Augusto da Silva Ramos,M,[],[],1946-12-15,,PE,Garanhuns
2909,https://dadosabertos.camara.leg.br/api/v2/deputados/73538,JOSÉ COIMBRA,46,51,JOSÉ DE CASTRO COIMBRA,M,[],[],1930-05-05,,MS,Coxim
2910,https://dadosabertos.camara.leg.br/api/v2/deputados/73539,JOSÉ DE ABREU,50,51,JOSE MASCI DE ABREU,M,[],[],1944-12-08,,SP,São Paulo
2911,https://dadosabertos.camara.leg.br/api/v2/deputados/73540,JOSÉ GENOÍNO,47,54,JOSÉ GENOÍNO NETO,M,[],[],1946-05-03,,CE,Quixeramobim
2912,https://dadosabertos.camara.leg.br/api/v2/deputados/73541,JOSÉ MACHADO,50,51,JOSÉ MACHADO,M,[],[],1946-01-27,,SP,Tanabi
2914,https://dadosabertos.camara.leg.br/api/v2/deputados/73543,JURANDYR PAIXÃO,50,50,Jurandyr da Paixão de Campos Freire Filho,M,[],[],1955-11-12,,SP,Limeira
2915,https://dadosabertos.camara.leg.br/api/v2/deputados/73544,KOYU IHA,48,50,Koyu Iha,M,[],[],1940-06-30,,SP,Santos
2916,https://dadosabertos.camara.leg.br/api/v2/deputados/73545,LUCIANO ZICA,50,52,EUSTÁQUIO LUCIANO ZICA,M,[],[],1951-01-07,,MG,Biquinhas
2917,https://dadosabertos.camara.leg.br/api/v2/deputados/73546,LUIZ CARLOS SANTOS,49,52,LUIZ CARLOS DOS SANTOS,M,[],[],1932-05-26,,MG,Araxá
2919,https://dadosabertos.camara.leg.br/api/v2/deputados/73548,MARCELO BARBIERI,49,52,MARCELO FORTES BARBIERI,M,[],[],1956-11-21,,SP,Araraquara
2920,https://dadosabertos.camara.leg.br/api/v2/deputados/73549,MARQUINHO CHEDID,50,50,Marco Antonio Nassif Abi Chedid,M,[],[],1957-11-23,,SP,Bragança Paulista
2921,https://dadosabertos.camara.leg.br/api/v2/deputados/73550,MARTA SUPLICY,50,50,Marta Teresa Suplicy,F,[],[],1945-03-18,,SP,São Paulo
