UF,id,nomeEleitoral,siglaPartido
PI,178924,Capitão Fábio Abreu,PR
PR,178928,Christiane de Souza Yared,PR
PA,135054,Cristiano Vale,PR
CE,204481,Dr. Jaziel,PR
RR,141417,Edio Lopes,PR
PE,204427,Fernando Rodolfo,PR
RJ,115746,Gelson Azevedo,PR
PR,74383,Giacobo,PR
RS,160673,Giovani Cherini,PR
BA,141458,João Carlos Bacelar,PR
RN,141459,João Maia,PR
BA,74554,José Rocha,PR
MA,204563,Josimar Maranhãozinho,PR
MA,204574,Junior Lourenço,PR
CE,204550,Júnior Mano,PR
DF,141478,Laerte Bessa,PR
ES,160534,Lauriete,PR
MG,74585,Lincoln Portela,PR
SP,204485,Luiz Carlos Motta,PR
PR,162332,Luiz Nishimori,PR
GO,166402,Magda Mofatto,PR
AM,204556,Marcelo Ramos,PR
SP,178983,Marcio Alvino,PR
SP,178985,Miguel Lombardi,PR
SP,160558,Paulo Freire Costa,PR
SP,204529,Policial Katia Sastre,PR
BA,204567,Raimundo Costa,PR
PE,178921,Sebastião Oliveira,PR
AL,204438,Sergio Toledo,PR
RJ,178946,Soraya Santos,PR
SP,160976,Tiririca,PR
TO,137070,Vicentinho Júnior,PR
AP,160591,Vinicius Gurgel,PR
PB,74043,Wellington Roberto,PR
MG,204517,Zé Vitor,PR
AP,204353,Aline Gurgel,PRB
ES,204356,Amaro Neto,PRB
PR,204414,Aroldo Martins,PRB
RN,109429,Benes Leocádio,PRB
AM,204572,Capitão Alberto Neto,PRB
RS,178962,Carlos Gomes,PRB
SP,73441,Celso Russomanno,PRB
MA,141408,Cleber Verde,PRB
MG,204491,Gilberto Abramo,PRB
SC,204373,Hélio Costa,PRB
SP,217036,Henrique do Paraíso,PRB
PB,160674,Hugo Motta,PRB
RR,160531,Jhonatan de Jesus,PRB
GO,74366,João Campos,PRB
RJ,205550,Jorge Braz,PRB
DF,204372,Julio Cesar Ribeiro,PRB
MG,98057,Lafayette de Andrada,PRB
PR,204418,Luizão Goulart,PRB
BA,150418,Márcio Marinho,PRB
SP,204506,Marcos Pereira,PRB
SP,204540,Maria Rosas,PRB
PE,204422,Ossesio Silva,PRB
SP,152610,Roberto Alves,PRB
RJ,178945,Rosangela Gomes,PRB
AL,204437,Severino Pessoa,PRB
AM,74356,Silas Câmara,PRB
PE,204425,Silvio Costa Filho,PRB
BA,178862,Tia Eron,PRB
PA,204505,Vavá Martins,PRB
SP,141555,Vinicius Carvalho,PRB
AP,204379,Acácio Favacho,PROS
CE,204487,Capitão Wagner,PROS
RN,213762,Carla Dickson,PROS
RJ,178939,Clarissa Garotinho,PROS
MG,160640,Eros Biondini,PROS
MA,74200,Gastão Vieira,PROS
PR,178934,Toninho Wandscheer,PROS
BA,178863,Uldurico Junior,PROS
